epoch,training loss,validation loss,training accuracy,validation accuracy
1,2.147548268581259,2.195068751970927,0.2521551724137931,0.2866666666666667
2,1.829522025996241,1.7905966687202453,0.3879310344827586,0.37333333333333335
3,1.703089401639741,1.521481335957845,0.45689655172413796,0.5333333333333333
4,1.519629009838762,1.5406301498413086,0.5323275862068966,0.5066666666666667
5,1.3649877515332451,1.314996777375539,0.5991379310344828,0.56
6,1.3193971411935215,1.2407436124483744,0.6120689655172413,0.64
7,1.1663332663733383,1.2660510698954264,0.6573275862068966,0.5866666666666667
8,1.1622437608653102,1.328039558728536,0.6530172413793104,0.5666666666666667
9,1.0755267040482883,1.2852395828564962,0.6896551724137931,0.58
10,1.0259841105033611,1.1750064253807069,0.7241379310344828,0.6133333333333333
11,0.9624595087150047,1.1581113290786744,0.7392241379310345,0.6133333333333333
12,0.9730279568968148,1.036053086121877,0.7198275862068966,0.6466666666666666
13,0.8627706848341843,1.0367770965894063,0.7629310344827587,0.6466666666666666
14,0.8006497046043133,0.9022501381238301,0.7564655172413793,0.74
15,0.7782668964616184,1.073070507844289,0.7672413793103449,0.6466666666666666
16,0.8223305786478108,0.8907776848475139,0.7306034482758621,0.7066666666666667
17,0.7467097568100897,1.2193796674410502,0.771551724137931,0.5933333333333334
18,0.7490216195583344,0.9985784180959065,0.7564655172413793,0.7066666666666667
19,0.7651935949407774,1.168490392367045,0.7521551724137931,0.62
20,0.6327615133647261,1.013361365000407,0.8146551724137931,0.6733333333333333
21,0.64345206679969,0.9159445492426554,0.8254310344827587,0.7
22,0.6216276596332418,1.092040674686432,0.8275862068965517,0.7133333333333334
23,0.6821728163752062,1.0334757367769878,0.7672413793103449,0.6266666666666667
24,0.6830917874286915,1.0281809862454732,0.8017241379310345,0.6866666666666666
25,0.5831460089519106,0.9441847562789917,0.8383620689655172,0.68
26,0.5926577161098349,1.0364784987767537,0.8405172413793104,0.6466666666666666
27,0.5424398558920828,0.8618457452456156,0.8383620689655172,0.7866666666666666
28,0.4957383639853576,0.9859040705362956,0.8793103448275862,0.68
29,0.5089837281868376,0.9003257783253987,0.8620689655172413,0.7266666666666667
30,0.4849640809256455,0.8245724097887674,0.8836206896551724,0.7533333333333333
31,0.4720783156567606,0.9330184062321981,0.8728448275862069,0.68
32,0.4773247170037237,0.8226292276382446,0.8405172413793104,0.7733333333333333
33,0.48860938179081886,1.1823766779899598,0.8642241379310345,0.66
34,0.4716308579362672,0.7523203984896342,0.853448275862069,0.7266666666666667
35,0.4340736799199006,0.9566786479949951,0.9008620689655172,0.68
36,0.5215618214730559,0.7567746686935425,0.8426724137931034,0.7733333333333333
37,0.3949435193990839,1.149295100371043,0.896551724137931,0.6666666666666666
38,0.41211832391804665,0.8133975275357564,0.8706896551724138,0.7533333333333333
39,0.41918277997395087,0.8443026685714722,0.875,0.7133333333333334
40,0.4279063194990158,1.013227207660675,0.875,0.74
41,0.43646725703930034,0.8812240926424663,0.8685344827586207,0.7533333333333333
42,0.46162773822915965,1.1462185899416606,0.8448275862068966,0.6533333333333333
43,0.33499890976938707,0.8490410049756368,0.915948275862069,0.7066666666666667
44,0.37757400551746634,0.9727822518348694,0.875,0.7
45,0.360310574030054,0.921362977027893,0.896551724137931,0.6866666666666666
46,0.36279642941622897,0.8882141741116841,0.9030172413793104,0.7666666666666667
47,0.3302893813314109,0.910010221004486,0.915948275862069,0.7066666666666667
48,0.3726014309916003,0.8718794298171997,0.8793103448275862,0.72
49,0.37280685120615464,0.9529119729995728,0.8879310344827587,0.7333333333333333
50,0.34894339586126394,0.8472164130210876,0.8836206896551724,0.7133333333333334
51,0.35013649227290317,0.8919513018925985,0.9094827586206896,0.7266666666666667
52,0.3708428242083254,0.8234401075045268,0.9008620689655172,0.7533333333333333
53,0.2955526678726591,0.8001828591028849,0.9030172413793104,0.7466666666666667
54,0.37760770320892334,0.7569869788487752,0.8814655172413793,0.7333333333333333
55,0.35764338538564483,0.9481904458999634,0.9030172413793104,0.7333333333333333
56,0.33262989644346563,1.2718718576431274,0.9008620689655172,0.6333333333333333
57,0.3504410093200618,0.8623679558436076,0.9073275862068966,0.7266666666666667
58,0.30499485289228373,0.8260691793759664,0.8900862068965517,0.7266666666666667
59,0.2890271410859864,0.9531684708595276,0.9418103448275862,0.7
60,0.2675411752585707,0.7880122049649556,0.9504310344827587,0.74
61,0.3795389810512806,0.9368530583381652,0.8987068965517241,0.6866666666666666
62,0.2736334538665311,0.9881685519218445,0.9008620689655172,0.7266666666666667
63,0.330336293269848,0.7166767994562785,0.9051724137931034,0.8
64,0.2066699893310152,0.7934363746643066,0.9504310344827587,0.72
65,0.24185088019946527,0.7537173954645793,0.9547413793103449,0.7666666666666667
66,0.33324783475234593,0.820800150235494,0.915948275862069,0.7533333333333333
67,0.3979130130389641,1.0947882040341694,0.8771551724137931,0.6866666666666666
68,0.3179214930739896,0.7683382693926494,0.9202586206896551,0.7666666666666667
69,0.2984743133701127,0.9128583065668742,0.9116379310344828,0.7066666666666667
70,0.34258781990100595,0.8347810975710551,0.8987068965517241,0.7666666666666667
71,0.2384947507545866,0.7371999875704447,0.9224137931034483,0.8
72,0.3239548637949187,0.7483610089619954,0.9094827586206896,0.7666666666666667
73,0.31844825477435673,0.8257698408762614,0.9030172413793104,0.7333333333333333
74,0.302735959661418,0.7932428272565206,0.9137931034482759,0.7733333333333333
